0,053
0,012
0,009
0,080
0,009
0,057
1,000
0,249
0,074
0,015
0,265
0,409
0,053
0,079
0,030
0,049
0,027
0,028
0,014
0,051
0,083
0,054
0,246
0,011
0,012
0,017
0,017
0,047
0,079
0,121
1,038
0,145
0,071
0,035
0,122
0,093
0,068
1,019
0,113
0,058
0,056
0,009
0,027
0,025
0,011
1,132
0,030
0,025
0,034
0,049
0,029
0,030
0,018
0,336
0,063
0,126
0,328
0,044
0,008
0,025
0,054
0,057
1,822
0,028
0,324
0,060
0,087
0,094
0,109
0,303
0,285
0,102
0,111
0,218
0,064
1,098
1,344
0,064
0,052
0,196
0,013
0,025
0,021
0,042
0,292
0,046
0,044
0,008
0,043
0,091
0,076
0,144
0,109
0,021
0,057
0,023
0,038
0,048
0,019
0,013
0,057
0,474
0,012
0,010
0,024
0,013
0,008
0,008
0,012
0,300
0,018
0,015
0,209
0,395
0,061
0,074
0,004
1,046
0,013
1,145
0,017
0,048
0,066
0,049
0,036
0,064
0,016
0,273
0,028
0,013
0,055
0,417
0,048
0,010
0,073
1,030
0,110
1,255
0,062
0,562
0,016
0,030
0,023
0,019
0,037
0,023
0,010
0,094
0,018
0,017
0,097
0,054
0,138
0,020
0,027
0,012
0,084
0,037
0,065
0,049
0,020
0,244
0,111
0,043
0,048
0,255
0,233
0,064
0,052
0,095
0,022
0,015
1,021
0,039
0,077
0,019
0,010
0,050
0,035
0,012
0,023
0,026
0,070
0,011
0,038
0,042
0,050
0,007
0,015
0,016
0,478
0,001
0,139
0,048
0,073
0,304
0,050
0,137
0,094
0,065
0,007
0,241
0,020
0,002
0,007
0,013
0,030
0,043
0,307
0,008
0,027
0,029
0,060
0,432
0,064
3,002
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
